Comment,Designator,Footprint,LCSC,Quantity
1.6k,R5,R_0805_2012Metric,C2933328,1
10uF,"C1,C2,C3,C5",C_0805_2012Metric,C15850,4
20k,R3,R_0805_2012Metric,C4328,1
390,R1,R_0805_2012Metric,C17655,1
470uF,C4,CP_Elec_6.3x7.7,C3354,1
5.1k,"R2,R4",R_0805_2012Metric,C27834,2
ALS-PT19-315C_L177_TR8,A1,XDCR_ALS-PT19-315C_L177_TR8,C146233,1
Conn_01x02_Socket,J3,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,C295747,1
ESP32-WROOM-32,U2,ESP32-WROOM-32,C701341,1
ME6211C33M5,U3,SOT-23-5,C82942,1
SK6805,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D3,D4,D5,D6,D7,D8,D9",LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,C2909056,22
SW_Push,SW1,SW_Push_1P1T_NO_CK_KMR2,C221675,1
SW_SPDT,SW2,SW_SPDT_Shouhan_MSK12C02,C431540,1
TP4056-42-ESOP8,U1,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,C16581,1
USB_C_Receptacle_PowerOnly_6P,J2,USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,C5246813,1
