Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A1,ALS-PT19-315C_L177_TR8,XDCR_ALS-PT19-315C_L177_TR8,132.5,-106.5,0.0,top
C1,10uF,C_0805_2012Metric,150.544146,-115.785228,90.0,bottom
C2,10uF,C_0805_2012Metric,140.763521,-121.5,180.0,bottom
C3,10uF,C_0805_2012Metric,141.5,-130.0,224.0,bottom
C4,470uF,CP_Elec_6.3x7.7,105.0,-113.7,90.0,bottom
C5,10uF,C_0805_2012Metric,142.461623,-114.168886,90.0,bottom
D1,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,100.0,-119.65,0.0,top
D10,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,148.5,-77.15,90.0,top
D11,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,150.5,-94.65,180.0,top
D12,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,164.0,-103.35,180.0,top
D13,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,165.5,-117.15,180.0,top
D14,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,144.65,-135.0,90.0,top
D15,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,130.026151,-146.486532,0.0,top
D16,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,113.0,-132.15,0.0,top
D17,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,111.0,-113.35,0.0,top
D18,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,124.0,-75.35,0.0,top
D19,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,137.0,-75.65,180.0,top
D2,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,95.5,-105.15,0.0,top
D20,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,141.0,-84.65,180.0,top
D21,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,131.85,-97.5,90.0,top
D22,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,136.5,-123.15,0.0,top
D3,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,111.0,-93.15,0.0,top
D4,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,111.0,-78.15,-90.0,top
D5,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,106.5,-59.15,-90.0,top
D6,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,120.5,-48.15,-90.0,top
D7,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,135.0,-46.65,-90.0,top
D8,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,150.0,-52.65,-90.0,top
D9,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,151.5,-63.65,90.0,top
J2,USB_C_Receptacle_PowerOnly_6P,USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,148.889696,-127.338162,320.0,bottom
J3,Conn_01x02_Socket,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,158.5,-121.0,0.0,bottom
R1,390,R_0805_2012Metric,123.671935,-115.533924,218.0,bottom
R2,5.1k,R_0805_2012Metric,146.5,-122.5,90.0,bottom
R3,20k,R_0805_2012Metric,105.5,-128.5,38.0,bottom
R4,5.1k,R_0805_2012Metric,144.5,-122.5,90.0,bottom
R5,1.6k,R_0805_2012Metric,149.579805,-120.675916,140.0,bottom
SW1,SW_Push,SW_Push_1P1T_NO_CK_KMR2,105.5,-124.5,180.0,bottom
SW2,SW_SPDT,SW_SPDT_Shouhan_MSK12C02,164.425,-110.5,270.0,bottom
U1,TP4056-42-ESOP8,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,146.5,-115.7,0.0,bottom
U2,ESP32-WROOM-32,ESP32-WROOM-32,121.824243,-128.663507,38.0,bottom
U3,ME6211C33M5,SOT-23-5,140.55,-125.6375,180.0,bottom
