Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A1,ALS-PT19-315C_L177_TR8,XDCR_ALS-PT19-315C_L177_TR8,123.960496,-90.479007,-44.0,top
C1,10uF,C_0805_2012Metric,157.617597,-104.66908,0.0,bottom
C2,10uF,C_0805_2012Metric,115.5,-114.5,270.0,bottom
C3,10uF,C_0805_2012Metric,119.306681,-118.020642,0.0,bottom
C4,470uF,C_Elec_6.3x7.7,115.4625,-107.5,0.0,bottom
C5,10uF,C_0805_2012Metric,148.45,-103.0,180.0,bottom
D1,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,91.0,-90.15,-25.0,top
D10,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,162.5,-95.15,0.0,top
D11,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,184.0,-96.15,180.0,top
D12,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,158.5,-108.5,90.0,top
D13,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,182.5,-111.15,0.0,top
D14,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,154.0,-118.85,0.0,top
D15,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,167.0,-136.65,0.0,top
D16,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,138.5,-128.15,0.0,top
D17,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,133.35,-142.0,90.0,top
D18,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,120.0,-126.65,0.0,top
D19,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,110.35,-145.0,90.0,top
D2,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,103.747487,-68.666726,135.0,top
D20,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,108.35,-115.0,90.0,top
D21,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,88.0,-124.65,0.0,top
D22,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,104.5,-100.15,0.0,top
D3,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,109.15,-82.5,90.0,top
D4,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,121.65,-70.0,-90.0,top
D5,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,126.15,-57.5,90.0,top
D6,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,140.5,-70.15,0.0,top
D7,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,148.85,-51.0,90.0,top
D8,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,156.0,-80.65,180.0,top
D9,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,173.0,-67.5,180.0,top
J2,USB_C_Receptacle_PowerOnly_6P,USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,149.48,-110.02,270.0,bottom
J3,Conn_01x02_Socket,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,115.141599,-89.3584,45.0,bottom
R1,390,R_0805_2012Metric,144.383781,-102.786237,0.0,bottom
R2,5.1k,R_0805_2012Metric,144.4125,-109.5,0.0,bottom
R3,20k,R_0805_2012Metric,126.395941,-95.654373,270.0,bottom
R4,5.1k,R_0805_2012Metric,144.397778,-111.512777,0.0,bottom
R5,1.6k,R_0805_2012Metric,159.890251,-100.080931,180.0,bottom
SW1,SW_Push,SW_Push_1P1T_NO_CK_KMR2,115.95,-100.742805,180.0,bottom
U1,TP4056-42-ESOP8,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,154.2,-100.7,270.0,bottom
U2,ESP32-WROOM-32,ESP32-WROOM-32,132.1,-107.73,90.0,bottom
U3,ME6211C33M5,SOT-23-5,119.340449,-114.531626,90.0,bottom
